10001-01,C.A.R.D./Pryor,708 SE 1st St,Pryor,OK,74361,918-825-3423
10001-06,C.A.R.D. Seniors/ Pryor,851 S E. 9th St,Pryor,OK,74018,918-341-5000
10002-01,Calvary Baptist Church,204 East Ash,Wilburton,OK,74578,918-465-3162
10004-01,Help In Crisis Shelter,1360 N. Jones,Tahlequah,OK,74464,918-456-0673
10005-01,Broken Arrow Neighbors,322 W. Broadway,Broken Arrow,OK,74012,918-251-7781
10005-02,Broken Arrow Neighbors/Backpack,400 W. New Orleans,Broken Arrow,OK,74012,918-251-7781
10007-01,Catholic Charities/Tulsa,2450 N Harvard,Tulsa,OK,74115,918-508-7166
10007-04,Catholic Charities On-Site,2450 N Harvard,Tulsa,OK,74158,918-949-4673
10010-01,Mary Martha Outreach,1845 SW 4th,Bartlesville,OK,74003,918-336-7816
10011-01,Blue Starr Church of Christ,319 E. Blue Starr,Claremore,OK,74017,918-341-5058
10013-01,Christ's Cupboard/Pawhuska,111 East 6th St,Pawhuska,OK,74056,918-287-3584
10015-01,Green Country Respite Care,6365 W. Okmulgee,Muskogee,OK,74401,918-687-1039
10017-01,Potter's Clay Mission,2208 Southwest Blvd.,Tulsa,OK,74107,918-619-3404
10017-02,Potter's Clay Mission,2208 SouthWest Blvd,Tulsa,OK,74107,918-619-3404
10018-01,Central Church of Christi/BackPack,402 W. Main Street,Haskell,OK,74436,918-482-5442
10021-01,Concern Emergency Services,333 S. Penn,Bartlesville,OK,74003,918-336-4693
10021-02,Concern Child Learning Center,1225 SW 5th Street,Bartlesville,OK,74003,918-336-8543
10022-01,Victory Worship Center,100 East Broadway,Spiro,OK,74959,918-962-3084
10023-01,Cookson Hills Center,32035 Hwy 82,Cookson,OK,74427,918-457-4304
10023-02,Cookson Hills Center,32035 Hwy 82,Cookson,OK,74427,918-457-5181
10024-01,Cookson Hills Christian School,Rt. 3 Box 200,Kansas,OK,74347,918-597-2192
10025-01,Cherokee Nation Youth Shelter,21834 S. Juan Valdez Rd,Tahlequah,OK,74465,918-458-4440
10026-01,Life Adult Day Care Center,902 East Pine,Tulsa,OK,74106,918-664-9000
10028-01,Washington/Nowata Nutrition Pr,301 East Angus,Dewey,OK,74029,918-534-1270
10033-01,Emergency Infant Services,222 S. Houston Ave,Tulsa,OK,74127,918-582-2469
10034-01,SpiritLife Church,1322 E. 55th St,Tulsa,OK,74105,918-749-9971
10035-01,Christ the Lamb Miracle Church,4635 S. Madison Pl,Tulsa,OK,74105,918-747-8551
10038-01,Salvation Army/Sand Springs,4403 S. 129th W. Ave.,Sand Springs,OK,74063,918-245-2237
10040-01,Church of St Mary,1347 East 49th Pl,Tulsa,OK,74104,918-749-2561
10044-01,Haworth Senior Citizens,103 S. Main St,Haworth,OK,74740,580-245-2369
10046-01,Boulevard Christian Church/BP,1700 W. Shawnee,Muskogee,OK,74401,918-682-7822
10047-01,Ezra House,101 W. Main,Haskell,OK,74436,918-482-2000
10048-01,Garnett Church of Christ,12000 E. 31st St.,Tulsa,OK,74146,918-663-3000
10049-01,Metropolitan Tulsa Urban Leagu,110 West 56th St N,Tulsa,OK,74110,918-584-0001
10050-01,CREOKS MHS/Okmulgee,1803 S. Wood Drive,Okmulgee,OK,74447,918-756-9250
10050-02,CREOKS MHS/Sapulpa,23 East Ross,Sapulpa,OK,74066,918-227-2016
10053-01,Living Word Family Church,225 S. Ash,Nowata,OK,74048,918-273-1208
10054-01,Gospel Tabernacle COGIC,2413 East Virgin,Tulsa,OK,74110,918-425-8881
10056-01,The Ministry Center,312 S. 33rd W Ave,Tulsa,OK,74127,918-585-5310
10060-01,Broken Bow Boys & Girls Club,210 Chata Rd,Broken Bow,OK,74728,580-584-3636
10060-04,Eagletown Boys & Girls Club,Eagletown School Dr,Eagletown,OK,74734,580-835-7377
10062-01,Victory Park Baptist Church,600 E. Harrison,McAlester,OK,74501,918-423-8477
10063-01,House of Hope,32300 S. 625 Rd,Grove,OK,74345,918-786-2930
10064-01,H O W Foundation,5649 S. Garnett Rd.,Tulsa,OK,74146,918-252-5739
10066-01,Henryetta Church of Christ,413 W. Broadway,Henryetta,OK,74437,918-652-4258
10066-02,Henryetta Church of Christ/BP,413 West Broadway,Henryetta,OK,74437,918-652-4258
10066-03,Henryetta Church of Christ On-,413 W. Broadway,Henryetta,OK,74437,918-652-4258
10067-01,Paradise Baptist Church,507 East King St,Tulsa,OK,74106,918-585-9319
10068-01,Golden Senior Citizens,Golden Townsite,Golden,OK,74737,580-420-7054
10071-01,Kendall Whittier Food Pantry,500 South College Ave,Tulsa,OK,74104,918-946-8262
10071-02,Kendall Whittier Kids' Cafe,2601 East 5th Pl,Tulsa,OK,74104,918-946-5814
10072-01,Locust Grove Ministerial Allnc,703 N. Hwy 82,Locust Grove,OK,74352,918-479-6356
10072-02,Locust Grove Minis. Allnc/BP,703 N. Hwy 82,Locust Grove,OK,74352,918-479-6356
10073-01,Love Heals Church,3388 West 61st St,Tulsa,OK,74127,918-445-2900
10074-01,Kiamichi Valley Ministerial Alliance,"900 2nd St., Ste #18",Talihina,OK,74571,918-413-5501
10075-01,Agape Mission/BackPack,309 S. Bucy,Bartlesville,OK,74003,918-336-5410
10075-02,Agape Mission On-Site,309 S. Bucy,Bartlesville,OK,74003,918-336-5410
10075-04,Agape Mission Pantry,309 South Bucy,Bartlesville,OK,74003,918-336-5410
10077-01,St Paul's Manna Meals,1430 S. Quaker Ave.,Tulsa,OK,74120,918-527-7708
10082-01,Loaves and Fishes,11321 East 19th St,Tulsa,OK,74128,918-234-8574
10082-02,Loaves & Fishes,11321 East 19th St,Tulsa,OK,74128,918-234-8574
10083-01,Zoe Institute,Hwy 82,Tahlequah,OK,74464,918-453-9778
10085-01,The Oaks R.S.C.,628 East Creek,McAlester,OK,74502,918-423-6030
10086-01,Monarch Inc.,2310 W. Broadway,Muskogee,OK,74401,918-682-7210
10086-02,Monarch/Fredonia,501 Fredonia,Muskogee,OK,74403,918-683-0124
10087-01,Salvation Army/Miami,100 D Street NE,Miami,OK,74354,918-542-3467
10089-01,Neighbors Along The Line,5000 Charles Page Blvd.,Tulsa,OK,74127,918-584-1111
10090-01,Neighbor for Neighbor,505 East 36th St North,Tulsa,OK,74106,918-425-5578
10091-01,New Lifehouse,36665 S. 510 Rd,Eucha,OK,74341,918-541-5044
10092-01,First Baptist Church/Okay,7530 N. 37th Street,Okay,OK,74446,918-850-1905
10093-01,NE OK Council on Alcoholism,130 W. Steve Owns Blvd,Miami,OK,74354,918-542-2845
10096-01,First U M C/Claremore,1615 N. Hwy 88,Claremore,OK,74017,918-341-4580
10097-01,Wagoner Community Outreach,700 SW 13th,Wagoner,OK,74467,918-485-8777
10097-02,Wagoner Community On-Site,700 SW 13th Street,Wagoner,OK,74467,918-485-6830
10098-01,Youth Services of Osage County,1616 McKenzie,Pawhuska,OK,74056,918-287-2881
10099-01,Panama Senior Citizens,311 Main Street,Panama,OK,74951,918-963-4346
10100-01,Ottawa Co. Nutrition Coalition,33 N. Main,Miami,OK,74354,918-542-9676
10101-01,Owasso Baptist Children's Home,12700 E. 76th St. N.,Owasso,OK,74055,918-272-2233
10103-01,DOC Services/Grove,341 O'Daniel Parkway,Grove,OK,74344,918-542-6670
10103-02,DOC Services/Miami,2104 Denver Harner Drive,Miami,OK,74355,918-542-6671
10105-02,ROCMND Group Home,55250 South 130 Rd,Miami,OK,74354,918-540-1563
10106-01,Shared Blessings,1558 South Main,McAlester,OK,74501,918-423-8624
10106-02,Shared Blessings/Backpack,1558 S. Main Street,McAlester,OK,74502,918-423-8624
10107-01,St Clements Comm Outreach,15501 S Memorial,Bixby,OK,74008,918-366-9721
10108-01,Hulah Lake Senior Center,1924 County Road 3575,Pawhuska,OK,74056,918-336-1870
10109-01,Prue Senior Citizens,202 Wah Gra See Way,Prue,OK,74060,918-242-3640
10110-01,Salvation Army/TSSC,102 N. Denver,Tulsa,OK,74103,918-582-7201
10111-01,Salvation Army/ARC,601 North Main,Tulsa,OK,74101,918-583-6119
10113-01,Salvation Army/McAlester,"400 N ""A"" Street",McAlester,OK,74501,918-423-5668
10114-01,Salvation Army/Muskogee,615 South Main,Muskogee,OK,74402,918-682-3384
10116-01,South Tulsa Community House,1208 E. 58th St.,Tulsa,OK,74105,918-742-5597
10120-01,Christian H.E.L.P. Center,1703 Hwy10 East,Grove,OK,74345,918-786-6798
10123-01,Christview Christian Church,2525 S. Garnett Rd.,Tulsa,OK,74129,918-663-6533
10127-01,Arms Around BA,700 W. Ft Worth,Broken Arrow,OK,74012,918-258-7714
10130-01,Timothy Baptist/Operation PIN,821 E. 46th Street N.,Tulsa,OK,74126,918-425-5348
10131-01,Tulsa Day Center for Homeless,415 W. Archer Ave.,Tulsa,OK,74103,918-583-5588
10132-01,Marble City Community Pantry,Main & Seminole,Marble City,OK,74945,918-487-5255
10133-01,Iron Gate Trust,501 S. Cincinnati Ave.,Tulsa,OK,74103,918-582-4128
10133-02,Iron Gate,501 S. Cincinnati,Tulsa,OK,74103,918-359-9039
10134-01,Tulsa Boys Home,2727 S 137th W Ave,Sand Springs,OK,74063,918-245-0231
10135-01,Tulsa C.A.R.E.S.,3507 E. Admiral Pl.,Tulsa,OK,74115,918-834-4194
10136-01,Catholic Charities/Sallisaw,409 N. Adams,Sallisaw,OK,74955,918-775-6111
10137-01,World Won Ministry,1125 East 36th St N,Tulsa,OK,74106,918-425-5030
10138-01,Sugarloaf Christian Fellowship,35204 Midway Rd,Poteau,OK,74953,918-658-3892
10138-02,Sugarloaf On-Site,35204 Midway Rd,Poteau,OK,74953,918-658-3892
10140-01,St Jerome's,205 West King,Tulsa,OK,74106,918-277-1962
10141-01,Twelve & Twelve Transition Hse,6333 E. Skelly Dr.,Tulsa,OK,74135,918-664-4224
10143-01,United Methodist Boys Ranch,97332 Hwy 10A,Gore,OK,74435,918-487-5281
10144-01,Restore Hope Ministries,2960 Charles Page Blvd.,Tulsa,OK,74127,918-582-5766
10147-01,Western Neighbors,4235 SW Blvd,Tulsa,OK,74107,918-445-8840
10148-01,DaySpring Villa Women's Shelte,7802 West 7th Street,Tulsa,OK,74127,918-245-4075
10152-01,Youth Services of Tulsa,1011 East 4th Street,Tulsa,OK,74120,918-382-4450
10153-01,Pryor Ministries Center,15 SW 3rd Street,Pryor,OK,74362,918-373-1697
10154-01,Checotah Methodist Mission,419 W. Gentry,Checotah,OK,74426,918-473-1999
10156-01,Cornerstone Free Will Bapt. Ch,7770 N. Whirlpool Dr.,Sperry,OK,74073,918-274-3918
10156-02,Cornerstone Free Will Bapt. Ch,7770 N. Whirlpool Dr.,Sperry,OK,74073,918-274-3918
10157-01,Deep Fork Comm. Action Agency,223 West 6th,Okmulgee,OK,74447,918-756-2826
10157-02,Deep Fork CAF/Eufaula,627 Alexander Suite 105,Eufaula,OK,74432,918-689-3132
10158-01,First United Methodist/Depew,8th & Malley,Depew,OK,74028,918-324-5385
10160-01,Volunteers of America,9605 East 61st Street,Tulsa,OK,74133,918-307-3047
10163-01,First United Meth. Ch./Bixby,14 East Dawes,Bixby,OK,74008,918-366-4463
10164-01,Kiowa Emergency Food Pantry,Rt 1 Box 266-20,Kiowa,OK,74553,918-432-5900
10167-01,Catholic Charities/Muskogee,1220 W. Broadway,Muskogee,OK,74401,918-681-6115
10171-01,Moon Church of God Pantry,Rt 1 Box 51,Moon,OK,74740,580-245-1219
10171-02,Moon Church of God On-Site,Hwy 3,Moon,OK,74740,580-245-1219
